開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 330/990 | 損失: 2.1637 | 準確率: 35.36% | 處理時間: 0.26秒
  批次 340/990 | 損失: 1.9169 | 準確率: 35.39% | 處理時間: 0.23秒
  批次 350/990 | 損失: 2.1948 | 準確率: 35.55% | 處理時間: 0.22秒
  批次 360/990 | 損失: 2.3326 | 準確率: 35.53% | 處理時間: 0.22秒
  批次 370/990 | 損失: 2.3341 | 準確率: 35.58% | 處理時間: 0.22秒
  批次 380/990 | 損失: 2.4547 | 準確率: 35.54% | 處理時間: 0.22秒
  批次 390/990 | 損失: 2.0807 | 準確率: 35.60% | 處理時間: 0.22秒
  批次 400/990 | 損失: 2.1415 | 準確率: 35.64% | 處理時間: 0.21秒
  批次 410/990 | 損失: 2.2253 | 準確率: 35.63% | 處理時間: 0.21秒
  批次 420/990 | 損失: 2.0115 | 準確率: 35.77% | 處理時間: 0.26秒
  批次 430/990 | 損失: 1.9888 | 準確率: 35.83% | 處理時間: 0.22秒
  批次 440/990 | 損失: 1.9508 | 準確率: 35.85% | 處理時間: 0.23秒
  批次 450/990 | 損失: 1.9800 | 準確率: 35.93% | 處理時間: 0.22秒
  批次 460/990 | 損失: 2.0771 | 準確率: 35.95% | 處理時間: 0.22秒
  批次 470/990 | 損失: 2.0411 | 準確率: 35.97% | 處理時間: 0.26秒
  批次 480/990 | 損失: 2.3371 | 準確率: 36.04% | 處理時間: 0.22秒
  批次 490/990 | 損失: 2.5946 | 準確率: 36.08% | 處理時間: 0.22秒
  批次 500/990 | 損失: 1.9661 | 準確率: 36.07% | 處理時間: 0.22秒
  批次 510/990 | 損失: 2.2370 | 準確率: 36.11% | 處理時間: 0.22秒
  批次 520/990 | 損失: 2.3146 | 準確率: 36.17% | 處理時間: 0.23秒
  批次 530/990 | 損失: 2.2268 | 準確率: 36.24% | 處理時間: 0.22秒
  批次 540/990 | 損失: 2.3620 | 準確率: 36.26% | 處理時間: 0.22秒
  批次 550/990 | 損失: 2.6177 | 準確率: 36.28% | 處理時間: 0.22秒
  批次 560/990 | 損失: 2.1866 | 準確率: 36.28% | 處理時間: 0.26秒
  批次 570/990 | 損失: 2.2072 | 準確率: 36.33% | 處理時間: 0.22秒
  批次 580/990 | 損失: 1.9367 | 準確率: 36.40% | 處理時間: 0.22秒
  批次 590/990 | 損失: 2.1984 | 準確率: 36.42% | 處理時間: 0.22秒
  批次 600/990 | 損失: 2.0728 | 準確率: 36.42% | 處理時間: 0.22秒
  批次 610/990 | 損失: 2.1573 | 準確率: 36.46% | 處理時間: 0.26秒
  批次 620/990 | 損失: 2.0331 | 準確率: 36.54% | 處理時間: 0.22秒
  批次 630/990 | 損失: 2.1624 | 準確率: 36.58% | 處理時間: 0.22秒
  批次 640/990 | 損失: 2.3482 | 準確率: 36.64% | 處理時間: 0.22秒
  批次 650/990 | 損失: 1.9234 | 準確率: 36.66% | 處理時間: 0.22秒
  批次 660/990 | 損失: 2.2205 | 準確率: 36.68% | 處理時間: 0.22秒
  批次 670/990 | 損失: 2.3208 | 準確率: 36.67% | 處理時間: 0.26秒
  批次 680/990 | 損失: 2.5381 | 準確率: 36.69% | 處理時間: 0.22秒
  批次 690/990 | 損失: 2.2459 | 準確率: 36.68% | 處理時間: 0.22秒
  批次 700/990 | 損失: 1.9951 | 準確率: 36.73% | 處理時間: 0.22秒
