加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 190/990 | 損失: 3.3261 | 準確率: 0.1391 | 批次時間: 0.489秒
 批次 200/990 | 損失: 3.3253 | 準確率: 0.1397 | 批次時間: 0.479秒
 批次 210/990 | 損失: 3.3233 | 準確率: 0.1403 | 批次時間: 0.487秒
 批次 220/990 | 損失: 3.3191 | 準確率: 0.1409 | 批次時間: 0.547秒
 批次 230/990 | 損失: 3.3178 | 準確率: 0.1401 | 批次時間: 0.482秒
 批次 240/990 | 損失: 3.3148 | 準確率: 0.1409 | 批次時間: 0.574秒
 批次 250/990 | 損失: 3.3143 | 準確率: 0.1414 | 批次時間: 0.486秒
 批次 260/990 | 損失: 3.3145 | 準確率: 0.1418 | 批次時間: 0.486秒
 批次 270/990 | 損失: 3.3122 | 準確率: 0.1410 | 批次時間: 0.486秒
 批次 280/990 | 損失: 3.3093 | 準確率: 0.1415 | 批次時間: 0.487秒
 批次 290/990 | 損失: 3.3103 | 準確率: 0.1414 | 批次時間: 0.574秒
 批次 300/990 | 損失: 3.3059 | 準確率: 0.1429 | 批次時間: 0.484秒
 批次 310/990 | 損失: 3.3051 | 準確率: 0.1425 | 批次時間: 0.485秒
 批次 320/990 | 損失: 3.3069 | 準確率: 0.1419 | 批次時間: 0.553秒
 批次 330/990 | 損失: 3.3048 | 準確率: 0.1420 | 批次時間: 0.485秒
 批次 340/990 | 損失: 3.3046 | 準確率: 0.1423 | 批次時間: 0.493秒
 批次 350/990 | 損失: 3.3060 | 準確率: 0.1424 | 批次時間: 0.470秒
 批次 360/990 | 損失: 3.3039 | 準確率: 0.1431 | 批次時間: 0.574秒
 批次 370/990 | 損失: 3.3052 | 準確率: 0.1426 | 批次時間: 0.472秒
 批次 380/990 | 損失: 3.3035 | 準確率: 0.1431 | 批次時間: 0.486秒
 批次 390/990 | 損失: 3.3025 | 準確率: 0.1434 | 批次時間: 0.576秒
 批次 400/990 | 損失: 3.3024 | 準確率: 0.1439 | 批次時間: 0.486秒
 批次 410/990 | 損失: 3.3027 | 準確率: 0.1442 | 批次時間: 0.487秒
 批次 420/990 | 損失: 3.3008 | 準確率: 0.1444 | 批次時間: 0.548秒
 批次 430/990 | 損失: 3.2987 | 準確率: 0.1452 | 批次時間: 0.479秒
 批次 440/990 | 損失: 3.2959 | 準確率: 0.1456 | 批次時間: 0.530秒
 批次 450/990 | 損失: 3.2954 | 準確率: 0.1456 | 批次時間: 0.484秒
 批次 460/990 | 損失: 3.2943 | 準確率: 0.1458 | 批次時間: 0.477秒
 批次 470/990 | 損失: 3.2936 | 準確率: 0.1457 | 批次時間: 0.487秒
 批次 480/990 | 損失: 3.2932 | 準確率: 0.1454 | 批次時間: 0.479秒
 批次 490/990 | 損失: 3.2907 | 準確率: 0.1460 | 批次時間: 0.487秒
 批次 500/990 | 損失: 3.2901 | 準確率: 0.1462 | 批次時間: 0.573秒
 批次 510/990 | 損失: 3.2892 | 準確率: 0.1464 | 批次時間: 0.476秒
 批次 520/990 | 損失: 3.2889 | 準確率: 0.1465 | 批次時間: 0.538秒
 批次 530/990 | 損失: 3.2875 | 準確率: 0.1465 | 批次時間: 0.488秒
 批次 540/990 | 損失: 3.2864 | 準確率: 0.1468 | 批次時間: 0.474秒
 批次 550/990 | 損失: 3.2849 | 準確率: 0.1472 | 批次時間: 0.527秒
 批次 560/990 | 損失: 3.2840 | 準確率: 0.1473 | 批次時間: 0.486秒
 批次 570/990 | 損失: 3.2839 | 準確率: 0.1476 | 批次時間: 0.483秒
 批次 580/990 | 損失: 3.2834 | 準確率: 0.1474 | 批次時間: 0.487秒
 批次 590/990 | 損失: 3.2820 | 準確率: 0.1482 | 批次時間: 0.488秒
 批次 600/990 | 損失: 3.2815 | 準確率: 0.1482 | 批次時間: 0.486秒
 批次 610/990 | 損失: 3.2822 | 準確率: 0.1481 | 批次時間: 0.484秒
 批次 620/990 | 損失: 3.2808 | 準確率: 0.1485 | 批次時間: 0.662秒
