加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化WideCNN模型...
模型參數數量: 1,536,356
開始訓練 WideCNN 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:01<06:19,  1.77it/s, loss=3.7163, acc=4.14%, time=0.574s]
  批次 230/990 | 損失: 3.3061 | 準確率: 0.1425 | 批次時間: 0.486秒
  批次 240/990 | 損失: 3.3040 | 準確率: 0.1430 | 批次時間: 0.484秒
  批次 250/990 | 損失: 3.3017 | 準確率: 0.1436 | 批次時間: 0.469秒
  批次 260/990 | 損失: 3.2993 | 準確率: 0.1438 | 批次時間: 0.482秒
  批次 270/990 | 損失: 3.2979 | 準確率: 0.1440 | 批次時間: 0.482秒
  批次 280/990 | 損失: 3.2963 | 準確率: 0.1442 | 批次時間: 0.480秒
  批次 290/990 | 損失: 3.2948 | 準確率: 0.1450 | 批次時間: 0.490秒
  批次 300/990 | 損失: 3.2919 | 準確率: 0.1459 | 批次時間: 0.507秒
  批次 310/990 | 損失: 3.2903 | 準確率: 0.1462 | 批次時間: 0.479秒
  批次 320/990 | 損失: 3.2895 | 準確率: 0.1468 | 批次時間: 0.543秒
  批次 330/990 | 損失: 3.2885 | 準確率: 0.1469 | 批次時間: 0.477秒
  批次 340/990 | 損失: 3.2869 | 準確率: 0.1473 | 批次時間: 0.483秒
  批次 350/990 | 損失: 3.2892 | 準確率: 0.1472 | 批次時間: 0.558秒
  批次 360/990 | 損失: 3.2896 | 準確率: 0.1470 | 批次時間: 0.475秒
  批次 370/990 | 損失: 3.2896 | 準確率: 0.1467 | 批次時間: 0.482秒
  批次 380/990 | 損失: 3.2900 | 準確率: 0.1465 | 批次時間: 0.474秒
  批次 390/990 | 損失: 3.2885 | 準確率: 0.1463 | 批次時間: 0.489秒
  批次 400/990 | 損失: 3.2882 | 準確率: 0.1466 | 批次時間: 0.573秒
  批次 410/990 | 損失: 3.2861 | 準確率: 0.1464 | 批次時間: 0.478秒
  批次 420/990 | 損失: 3.2851 | 準確率: 0.1468 | 批次時間: 0.549秒
